Sat Apr 28 13:10:35 2018    profile/dataProfile

         2480696 function calls (2477874 primitive calls) in 14.505 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.000    0.000    0.004    0.000 sre_compile.py:516(_code)
        1    0.000    0.000    0.004    0.004 numeric.py:1(<module>)
      686    0.004    0.000    0.004    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:15(<module>)
       76    0.000    0.000    0.004    0.000 zipfile.py:660(read)
   218/19    0.001    0.000    0.004    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.004    0.004 zipfile.py:5(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:41(<module>)
        9    0.000    0.000    0.004    0.000 __init__.py:356(namedtuple)
        1    0.000    0.000    0.004    0.004 mnistHandwriting.py:6(<module>)
       44    0.000    0.000    0.004    0.000 zipfile.py:937(_read2)
     1695    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
      163    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
        1    0.000    0.000    0.004    0.004 index_tricks.py:1(<module>)
        1    0.000    0.000    0.003    0.003 shutil.py:5(<module>)
        1    0.000    0.000    0.003    0.003 main.py:1(<module>)
        1    0.000    0.000    0.003    0.003 result.py:1(<module>)
        1    0.000    0.000    0.003    0.003 tempfile.py:24(<module>)
        1    0.000    0.000    0.003    0.003 Image.py:27(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:24(<module>)
      138    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
        1    0.000    0.000    0.002    0.002 random.py:37(<module>)
      173    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:163(__enter__)
        1    0.000    0.000    0.002    0.002 runner.py:1(<module>)
      276    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:246(cache_from_source)
       91    0.000    0.000    0.002    0.000 sre_compile.py:221(_compile_charset)
        1    0.000    0.000    0.002    0.002 traceback.py:1(<module>)
        1    0.000    0.000    0.002    0.002 signals.py:1(<module>)
       91    0.001    0.000    0.002    0.000 sre_compile.py:248(_optimize_charset)
        1    0.000    0.000    0.002    0.002 pickle.py:24(<module>)
        1    0.000    0.000    0.002    0.002 hashlib.py:53(<module>)
     1695    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
      138    0.002    0.000    0.002    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:88(<module>)
        1    0.000    0.000    0.002    0.002 polynomial.py:4(<module>)
      289    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:406(cached)
        1    0.000    0.000    0.002    0.002 parse.py:28(<module>)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
        1    0.000    0.000    0.002    0.002 financial.py:12(<module>)
        1    0.000    0.000    0.002    0.002 linecache.py:6(<module>)
      212    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
       16    0.001    0.000    0.002    0.000 zipfile.py:1235(open)
      361    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
        1    0.000    0.000    0.002    0.002 __init__.py:3(<module>)
      231    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
      151    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:342(_get_cached)
     3209    0.001    0.000    0.002    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.001    0.001 numerictypes.py:82(<module>)
4626/4510    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 string.py:15(<module>)
      278    0.000    0.000    0.001    0.000 function_base.py:4533(add_newdoc)
        1    0.000    0.000    0.001    0.001 tokenize.py:21(<module>)
      249    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        8    0.000    0.000    0.001    0.000 utils.py:1070(safe_eval)
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:737(create_module)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
        4    0.000    0.000    0.001    0.000 zipfile.py:981(__init__)
       11    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      138    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:826(path_stats)
        8    0.000    0.000    0.001    0.000 ast.py:38(literal_eval)
        1    0.000    0.000    0.001    0.001 npyio.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
     2608    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        4    0.000    0.000    0.001    0.000 zipfile.py:1085(_RealGetContents)
      367    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
     1604    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      151    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1210(_get_spec)
        1    0.000    0.000    0.001    0.001 neuralNetwork.py:6(<module>)
      188    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
        3    0.000    0.000    0.001    0.000 enum.py:532(_convert)
        8    0.000    0.000    0.001    0.000 format.py:202(read_magic)
        8    0.000    0.000    0.001    0.000 ast.py:30(parse)
        8    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
        3    0.000    0.000    0.001    0.000 enum.py:215(__call__)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
        3    0.000    0.000    0.001    0.000 enum.py:314(_create_)
       32    0.000    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
      361    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:94(acquire)
      163    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(__exit__)
        5    0.000    0.000    0.001    0.000 enum.py:88(__new__)
     2098    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      151    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:513(spec_from_file_location)
        1    0.001    0.001    0.001    0.001 ImageMode.py:17(<module>)
  335/136    0.001    0.000    0.001    0.000 sre_parse.py:167(getwidth)
        1    0.000    0.000    0.001    0.001 polynomial.py:56(<module>)
      361    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:119(release)
      170    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:716(find_spec)
        1    0.000    0.000    0.001    0.001 linalg.py:10(<module>)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1260(_fill_cache)
        1    0.000    0.000    0.001    0.001 getlimits.py:3(<module>)
     1626    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:366(_verbose_message)
        9    0.000    0.000    0.001    0.000 {built-in method io.open}
        1    0.000    0.000    0.001    0.001 tarfile.py:30(<module>)
      955    0.000    0.000    0.001    0.000 sre_parse.py:247(get)
      173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:170(__exit__)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
      884    0.000    0.000    0.001    0.000 sre_parse.py:157(__getitem__)
        8    0.000    0.000    0.001    0.000 tokenize.py:319(untokenize)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
       12    0.000    0.000    0.001    0.000 abc.py:132(__new__)
     3687    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
       31    0.000    0.000    0.000    0.000 sre_parse.py:90(closegroup)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
      276    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
      242    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0xa3ee00}
        1    0.000    0.000    0.000    0.000 csv.py:4(<module>)
        8    0.000    0.000    0.000    0.000 tokenize.py:245(untokenize)
       17    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        8    0.000    0.000    0.000    0.000 fromnumeric.py:2021(all)
      500    0.000    0.000    0.000    0.000 externalFunc.py:34(Constant)
     1212    0.000    0.000    0.000    0.000 sre_parse.py:226(__next)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
     2925    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       16    0.000    0.000    0.000    0.000 zipfile.py:953(close)
        1    0.000    0.000    0.000    0.000 zipfile.py:694(ZipExtFile)
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
       43    0.000    0.000    0.000    0.000 core.py:150(get_object_signature)
        1    0.000    0.000    0.000    0.000 __init__.py:69(search_function)
        4    0.000    0.000    0.000    0.000 warnings.py:38(filterwarnings)
        2    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
       16    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.000    0.000 argumentsManager.py:36(__init__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1047(_path_hooks)
        1    0.000    0.000    0.000    0.000 argumentsManager.py:71(analyseArgs)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
      164    0.000    0.000    0.000    0.000 <string>:12(__new__)
       26    0.000    0.000    0.000    0.000 core.py:6550(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__init__)
        1    0.000    0.000    0.000    0.000 argumentsManager.py:143(checkNeuralNetworkArg)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:382(_check_name_wrapper)
       26    0.000    0.000    0.000    0.000 core.py:6555(getdoc)
     1299    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
        4    0.000    0.000    0.000    0.000 zipfile.py:234(_EndRecData)
      102    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 enum.py:1(<module>)
       62    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        8    0.000    0.000    0.000    0.000 abc.py:151(register)
       53    0.000    0.000    0.000    0.000 core.py:891(__init__)
   105/71    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      167    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 pickle.py:180(<listcomp>)
      488    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(__enter__)
     21/8    0.000    0.000    0.000    0.000 abc.py:194(__subclasscheck__)
        8    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
     68/8    0.000    0.000    0.000    0.000 ast.py:49(_convert)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1301(path_hook_for_FileFinder)
       19    0.000    0.000    0.000    0.000 sre_compile.py:412(_compile_info)
      276    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
        4    0.000    0.000    0.000    0.000 npyio.py:209(__del__)
      488    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:856(__exit__)
       86    0.000    0.000    0.000    0.000 sre_compile.py:386(_simple)
        1    0.000    0.000    0.000    0.000 nosetester.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:5(<module>)
       33    0.000    0.000    0.000    0.000 functools.py:43(update_wrapper)
      101    0.000    0.000    0.000    0.000 re.py:160(match)
        8    0.000    0.000    0.000    0.000 _methods.py:40(_all)
        6    0.000    0.000    0.000    0.000 getlimits.py:65(__init__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
        4    0.000    0.000    0.000    0.000 npyio.py:196(close)
      100    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 random.py:84(__init__)
        1    0.000    0.000    0.000    0.000 random.py:93(seed)
       38    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
       16    0.000    0.000    0.000    0.000 zipfile.py:708(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       22    0.000    0.000    0.000    0.000 sre_compile.py:374(_mk_bitmap)
      609    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      569    0.000    0.000    0.000    0.000 sre_parse.py:242(match)
        1    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
       19    0.000    0.000    0.000    0.000 nosetester.py:554(_numpy_tester)
      218    0.000    0.000    0.000    0.000 sre_parse.py:105(__init__)
      138    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 numerictypes.py:302(_add_aliases)
       31    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.frombuffer}
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(__init__)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(parent)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
       59    0.000    0.000    0.000    0.000 enum.py:51(__setitem__)
       51    0.000    0.000    0.000    0.000 _internal.py:715(_ufunc_doc_signature_formatter)
      298    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 numerictypes.py:954(_register_types)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:789(find_spec)
       24    0.000    0.000    0.000    0.000 cp437.py:14(decode)
      335    0.000    0.000    0.000    0.000 sre_parse.py:165(append)
       43    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.000    0.000 core.py:6264(__new__)
        8    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        9    0.000    0.000    0.000    0.000 datetime.py:338(__new__)
        1    0.000    0.000    0.000    0.000 laguerre.py:59(<module>)
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       27    0.000    0.000    0.000    0.000 core.py:918(__init__)
        4    0.000    0.000    0.000    0.000 textwrap.py:415(dedent)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(__init__)
      273    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       19    0.000    0.000    0.000    0.000 nosetester.py:157(__init__)
      849    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        4    0.000    0.000    0.000    0.000 numeric.py:2882(extend_all)
      276    0.000    0.000    0.000    0.000 sre_parse.py:276(tell)
      156    0.000    0.000    0.000    0.000 tokenize.py:232(add_whitespace)
        1    0.000    0.000    0.000    0.000 cp437.py:3(<module>)
      652    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
       18    0.000    0.000    0.000    0.000 core.py:994(__init__)
       80    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BufferedReader' objects}
      342    0.000    0.000    0.000    0.000 sre_parse.py:153(__len__)
        8    0.000    0.000    0.000    0.000 numeric.py:495(asanyarray)
       30    0.000    0.000    0.000    0.000 getlimits.py:70(<lambda>)
      273    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.add_docstring}
        1    0.000    0.000    0.000    0.000 core.py:2771(__new__)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
       73    0.000    0.000    0.000    0.000 enum.py:301(__setattr__)
       22    0.000    0.000    0.000    0.000 sre_compile.py:376(<listcomp>)
       99    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       16    0.000    0.000    0.000    0.000 zipfile.py:667(close)
      277    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        3    0.000    0.000    0.000    0.000 enum.py:547(<dictcomp>)
      723    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      316    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:34(_relax_case)
        9    0.000    0.000    0.000    0.000 extras.py:238(__init__)
       32    0.000    0.000    0.000    0.000 ast.py:61(<genexpr>)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1043(__import__)
        1    0.000    0.000    0.000    0.000 core.py:2706(MaskedArray)
       12    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
        1    0.000    0.000    0.000    0.000 pathlib.py:366(_NormalAccessor)
       19    0.000    0.000    0.000    0.000 sre_parse.py:217(__init__)
        4    0.000    0.000    0.000    0.000 re.py:175(sub)
        9    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:786(__init__)
       40    0.000    0.000    0.000    0.000 sre_parse.py:362(_escape)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
      349    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:92(_path_isdir)
      159    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       26    0.000    0.000    0.000    0.000 numerictypes.py:230(bitname)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       16    0.000    0.000    0.000    0.000 {function ZipExtFile.close at 0x7f62d98f4488}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:972(_gcd_import)
       42    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:121(<listcomp>)
       31    0.000    0.000    0.000    0.000 sre_parse.py:78(opengroup)
       38    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        9    0.000    0.000    0.000    0.000 pathlib.py:368(_wrap_strfunc)
      248    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
       20    0.000    0.000    0.000    0.000 posixpath.py:145(dirname)
       16    0.000    0.000    0.000    0.000 zipfile.py:1194(getinfo)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
      383    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      173    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:88(<module>)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
       55    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:153(HelpFormatter)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        2    0.000    0.000    0.000    0.000 core.py:2934(__array_finalize__)
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:811(get_filename)
        8    0.000    0.000    0.000    0.000 core.py:8028(__init__)
        4    0.000    0.000    0.000    0.000 zipfile.py:191(_EndRecData64)
        1    0.000    0.000    0.000    0.000 hermite_e.py:59(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        7    0.000    0.000    0.000    0.000 contextlib.py:103(contextmanager)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
      316    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      184    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 numerictypes.py:286(_add_types)
        8    0.000    0.000    0.000    0.000 zipfile.py:320(__init__)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:235(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
      116    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       36    0.000    0.000    0.000    0.000 getlimits.py:69(<lambda>)
        8    0.000    0.000    0.000    0.000 core.py:8033(getdoc)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
       24    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
